name,gp,g,a,plus_minus,pim,ppp,sog,hit,blk,year,team_name,gwg,position,mult_position_player,avg_time_on_ice
Total,699,204,329,73,393,143,1629,771,617,2020,The Hans Grubauers,NA,,,
T.J. Oshie,64,21,26,2,36,12,NA,128,52,2018,The Bearded One,4,,,
Tomas Hertl,50,26,22,2,12,11,NA,35,41,2018,The Bearded One,4,,,
Erik Karlsson,50,3,42,6,20,20,NA,43,69,2018,The Bearded One,1,,,
Tyler Seguin,50,24,27,9,8,16,NA,50,30,2018,The Bearded One,5,,,
William Karlsson,54,14,22,1,14,7,NA,37,36,2018,The Bearded One,4,,,
Filip Forsberg,55,24,19,2,20,10,NA,87,27,2018,The Bearded One,4,,,
Artemi Panarin,72,25,52,7,23,17,NA,12,17,2018,The Bearded One,7,,,
Nino Niederreiter,4,0,1,-3,2,0,NA,7,0,2018,The Bearded One,0,,,
Ryan Suter,76,7,39,-2,39,15,NA,69,106,2018,The Bearded One,2,,,
Mattias Ekholm,74,8,34,18,43,8,NA,64,101,2018,The Bearded One,3,,,
Jonathan Toews,48,23,26,6,24,14,NA,22,24,2018,The Bearded One,5,,,
Kyle Palmieri,61,24,21,-5,36,16,NA,82,29,2018,The Bearded One,1,,,
Keith Yandle,6,1,6,2,4,1,NA,5,8,2018,The Bearded One,0,,,
Dylan Larkin,61,26,28,-12,55,12,NA,69,30,2018,The Bearded One,4,,,
Nick Foligno,30,8,7,8,11,1,NA,71,21,2018,The Bearded One,2,,,
Hampus Lindholm,61,4,14,-12,42,4,NA,66,102,2018,The Bearded One,0,,,
Jamie Oleksiak,6,0,2,2,2,0,NA,16,5,2018,The Bearded One,0,,,
Justin Abdelkader,2,0,1,2,0,0,NA,2,2,2018,The Bearded One,0,,,
Nathan MacKinnon,15,7,8,4,4,5,NA,13,7,2018,The Bearded One,3,,,
Auston Matthews,15,7,6,-5,6,3,NA,14,16,2018,The Bearded One,1,,,
Jake Gardiner,2,0,1,0,0,0,NA,4,2,2018,The Bearded One,0,,,
Leo Komarov,11,0,4,-2,4,0,NA,33,8,2018,The Bearded One,0,,,
Nazem Kadri,3,0,0,-1,0,0,NA,7,1,2018,The Bearded One,0,,,
Jared Spurgeon,6,2,1,-6,0,3,NA,11,11,2018,The Bearded One,0,,,
Erik Gudbranson,4,0,0,0,0,0,NA,8,4,2018,The Bearded One,0,,,
Total,880,254,409,23,405,175,NA,955,749,2018,The Bearded One,50,,,
Sidney Crosby,40,15,28,-9,15,15,106,28,17,2019,The Bill Crosby's,NA,,,
Artemi Panarin,69,32,63,36,20,24,209,25,18,2019,The Bill Crosby's,NA,,,
Patrik Laine,45,16,26,9,12,9,145,68,24,2019,The Bill Crosby's,NA,,,
Torey Krug,58,9,35,-3,31,25,138,31,47,2019,The Bill Crosby's,NA,,,
John Klingberg,17,1,3,-10,14,2,36,13,18,2019,The Bill Crosby's,NA,,,
Aaron Ekblad,40,5,18,11,18,3,94,17,54,2019,The Bill Crosby's,NA,,,
Sean Couturier,55,15,31,22,14,8,149,49,20,2019,The Bill Crosby's,NA,,,
Boone Jenner,4,0,0,-3,6,0,11,5,2,2019,The Bill Crosby's,NA,,,
Alex DeBrincat,57,14,23,-7,8,12,165,51,18,2019,The Bill Crosby's,NA,,,
Kyle Palmieri,58,23,16,-8,39,18,135,67,31,2019,The Bill Crosby's,NA,,,
Erik Karlsson,56,6,34,-15,16,13,120,26,74,2019,The Bill Crosby's,NA,,,
Pierre-Luc Dubois,4,2,1,1,5,1,9,10,3,2019,The Bill Crosby's,NA,,,
Jeff Skinner,30,11,6,-4,14,3,102,10,4,2019,The Bill Crosby's,NA,,,
Brayden Point,15,7,8,2,0,3,29,8,9,2019,The Bill Crosby's,NA,,,
Jonathan Toews,2,1,0,-2,0,0,5,2,1,2019,The Bill Crosby's,NA,,,
Jakob Silfverberg,8,2,3,-2,6,0,16,1,8,2019,The Bill Crosby's,NA,,,
Deryk Engelland,2,0,0,-3,2,0,1,7,5,2019,The Bill Crosby's,NA,,,
Shayne Gostisbehere,1,0,0,-1,2,0,2,1,0,2019,The Bill Crosby's,NA,,,
Hampus Lindholm,1,0,0,0,4,0,1,0,2,2019,The Bill Crosby's,NA,,,
Zdeno Chara,13,2,5,4,8,0,16,17,17,2019,The Bill Crosby's,NA,,,
Matt Niskanen,6,0,1,-4,2,1,11,16,6,2019,The Bill Crosby's,NA,,,
Jean-Gabriel Pageau,42,15,11,-11,38,10,88,88,31,2019,The Bill Crosby's,NA,,,
Brent Seabrook,1,0,1,0,0,0,1,3,1,2019,The Bill Crosby's,NA,,,
Calvin de Haan,2,0,0,0,0,0,0,7,6,2019,The Bill Crosby's,NA,,,
Jared McCann,3,1,1,0,4,0,6,4,0,2019,The Bill Crosby's,NA,,,
Vladislav Namestnikov,1,0,0,0,0,0,1,0,0,2019,The Bill Crosby's,NA,,,
Alex Goligoski,30,2,12,-4,6,5,41,31,51,2019,The Bill Crosby's,NA,,,
Brendan Lemieux,5,0,1,-3,16,0,5,9,3,2019,The Bill Crosby's,NA,,,
Brock Nelson,2,0,1,-1,0,0,5,2,1,2019,The Bill Crosby's,NA,,,
Ben Chiarot,44,6,5,3,49,0,83,95,91,2019,The Bill Crosby's,NA,,,
Zack Kassian,25,6,6,-9,42,0,43,53,2,2019,The Bill Crosby's,NA,,,
Dustin Brown,4,0,1,0,2,1,10,13,0,2019,The Bill Crosby's,NA,,,
Alex Tuch,5,1,1,0,0,0,12,7,2,2019,The Bill Crosby's,NA,,,
Noel Acciari,2,0,0,-1,0,0,2,6,3,2019,The Bill Crosby's,NA,,,
Andre Burakovsky,3,0,0,-3,0,0,3,2,3,2019,The Bill Crosby's,NA,,,
William Karlsson,7,0,1,1,0,0,17,2,5,2019,The Bill Crosby's,NA,,,
Ondrej Palat,4,1,1,0,0,0,6,10,6,2019,The Bill Crosby's,NA,,,
Kevin Shattenkirk,18,1,4,6,8,0,27,18,16,2019,The Bill Crosby's,NA,,,
Phillip Danault,2,1,0,0,0,0,7,1,0,2019,The Bill Crosby's,NA,,,
Dominik Kubalik,8,5,1,0,4,0,22,2,0,2019,The Bill Crosby's,NA,,,
Dylan Larkin,4,2,3,0,4,0,9,3,2,2019,The Bill Crosby's,NA,,,
David Savard,1,0,0,0,0,0,4,1,4,2019,The Bill Crosby's,NA,,,
Dmitry Orlov,10,1,2,2,8,0,13,12,13,2019,The Bill Crosby's,NA,,,
Zach Hyman,15,5,4,1,9,1,35,14,9,2019,The Bill Crosby's,NA,,,
Rasmus Sandin,2,0,0,-1,0,0,2,0,2,2019,The Bill Crosby's,NA,,,
Chris Wagner,3,0,0,-1,2,0,5,8,2,2019,The Bill Crosby's,NA,,,
Ian Cole,2,0,1,3,0,0,5,2,3,2019,The Bill Crosby's,NA,,,
Damon Severson,15,1,8,-6,10,4,26,16,26,2019,The Bill Crosby's,NA,,,
Nick Suzuki,5,1,3,-6,0,3,12,1,1,2019,The Bill Crosby's,NA,,,
Roman Polak,1,0,0,0,0,0,0,4,2,2019,The Bill Crosby's,NA,,,
Brady Skjei,1,0,0,-2,0,0,4,4,1,2019,The Bill Crosby's,NA,,,
Kevin Fiala,11,9,7,0,4,5,45,2,3,2019,The Bill Crosby's,NA,,,
Carl Gunnarsson,2,0,0,1,0,0,3,0,4,2019,The Bill Crosby's,NA,,,
Tyler Ennis,8,1,1,-3,4,0,16,17,4,2019,The Bill Crosby's,NA,,,
Adam Fox,2,1,3,3,2,0,1,1,2,2019,The Bill Crosby's,NA,,,
Total,871,221,380,-17,448,166,2059,890,677,2019,The Bill Crosby's,NA,,,
Nikita Kucherov,42,21,39,-2,20,27,134,28,7,2021,The Dirty Beavers,NA,,,
Adam Larsson,75,8,15,-16,53,1,110,169,131,2021,The Dirty Beavers,NA,,,
Mika Zibanejad,79,28,51,30,12,27,213,66,47,2021,The Dirty Beavers,NA,,,
Alex DeBrincat,80,40,37,-13,19,28,264,96,34,2021,The Dirty Beavers,NA,,,
Jacob Trouba,74,10,26,24,84,4,184,192,164,2021,The Dirty Beavers,NA,,,
Vladislav Namestnikov,25,9,4,-1,12,0,34,18,14,2021,The Dirty Beavers,NA,,,
Jakub Voracek,71,6,52,-9,32,25,136,24,26,2021,The Dirty Beavers,NA,,,
Patrik Laine,51,24,29,-3,24,13,153,30,11,2021,The Dirty Beavers,NA,,,
Aaron Ekblad,60,14,41,38,22,19,175,61,67,2021,The Dirty Beavers,NA,,,
Marcus Foligno,69,22,18,22,103,7,96,224,37,2021,The Dirty Beavers,NA,,,
P.K. Subban,65,4,14,-15,78,0,103,57,77,2021,The Dirty Beavers,NA,,,
Keith Yandle,70,1,17,-42,14,11,95,26,39,2021,The Dirty Beavers,NA,,,
Charlie McAvoy,74,10,42,30,60,19,155,144,120,2021,The Dirty Beavers,NA,,,
Ryan O'Reilly,77,20,37,10,12,16,166,20,37,2021,The Dirty Beavers,NA,,,
Cam Atkinson,69,22,26,-6,10,5,202,16,45,2021,The Dirty Beavers,NA,,,
Martin Necas,26,7,10,3,10,3,53,21,4,2021,The Dirty Beavers,NA,,,
Jared Spurgeon,15,4,7,9,0,4,29,11,23,2021,The Dirty Beavers,NA,,,
Total,1022,250,465,59,565,209,2302,1203,883,2021,The Dirty Beavers,NA,,,
Alex Ovechkin,54,34,17,-11,20,16,236,145,25,2019,The Glatt Pack,NA,,,
Vladimir Tarasenko,8,3,6,0,0,3,23,16,4,2019,The Glatt Pack,NA,,,
Evgeni Malkin,28,13,20,-8,32,13,70,28,10,2019,The Glatt Pack,NA,,,
Mark Scheifele,60,26,40,0,43,20,142,32,42,2019,The Glatt Pack,NA,,,
Rickard Rakell,55,12,26,0,10,8,156,66,27,2019,The Glatt Pack,NA,,,
Lawson Crouse,53,11,6,-5,20,0,91,162,22,2019,The Glatt Pack,NA,,,
Alexander Radulov,55,15,18,7,40,10,119,41,39,2019,The Glatt Pack,NA,,,
Oliver Ekman-Larsson,66,9,21,-3,38,7,135,129,65,2019,The Glatt Pack,NA,,,
Blake Coleman,48,18,7,-5,34,0,147,148,36,2019,The Glatt Pack,NA,,,
Erik Gustafsson,66,6,23,-10,27,9,103,86,58,2019,The Glatt Pack,NA,,,
Zach Werenski,63,20,21,9,10,13,187,36,58,2019,The Glatt Pack,NA,,,
Vince Dunn,70,9,14,16,27,10,138,50,47,2019,The Glatt Pack,NA,,,
Evgeny Kuznetsov,52,16,24,0,22,9,109,31,13,2019,The Glatt Pack,NA,,,
Anze Kopitar,49,15,28,7,12,14,86,37,36,2019,The Glatt Pack,NA,,,
James van Riemsdyk,46,14,15,4,4,7,96,18,14,2019,The Glatt Pack,NA,,,
Total,773,221,286,1,339,139,1838,1025,496,2019,The Glatt Pack,NA,,,
Gabriel Landeskog,48,18,27,8,34,14,138,69,23,2020,The Glatt Pack,NA,,,
John Tavares,52,17,29,13,12,11,145,46,26,2020,The Glatt Pack,NA,,,
Steven Stamkos,38,17,17,5,16,15,91,38,10,2020,The Glatt Pack,NA,,,
Anze Kopitar,50,13,34,-1,10,20,109,39,35,2020,The Glatt Pack,NA,,,
Nikolaj Ehlers,40,18,22,14,11,10,115,19,11,2020,The Glatt Pack,NA,,,
Matt Duchene,18,3,5,-10,4,3,38,13,3,2020,The Glatt Pack,NA,,,
Kevin Fiala,46,18,18,-1,41,12,148,26,13,2020,The Glatt Pack,NA,,,
Alex Pietrangelo,16,2,6,9,2,1,43,14,39,2020,The Glatt Pack,NA,,,
Erik Karlsson,49,7,14,-16,14,7,100,20,68,2020,The Glatt Pack,NA,,,
Oliver Ekman-Larsson,41,2,20,-11,30,12,75,57,23,2020,The Glatt Pack,NA,,,
Rasmus Dahlin,50,5,16,-30,26,10,97,76,42,2020,The Glatt Pack,NA,,,
Kyle Palmieri,15,3,6,-2,12,3,41,15,8,2020,The Glatt Pack,NA,,,
Ryan Suter,53,3,14,9,12,6,83,36,63,2020,The Glatt Pack,NA,,,
Jared Spurgeon,9,0,2,-4,0,0,16,8,16,2020,The Glatt Pack,NA,,,
Ryan Graves,6,0,1,-1,0,0,13,14,6,2020,The Glatt Pack,NA,,,
Pavel Zacha,31,10,9,-10,4,7,67,27,6,2020,The Glatt Pack,NA,,,
Kirill Kaprizov,34,21,13,5,12,12,116,21,12,2020,The Glatt Pack,NA,,,
Total,596,157,253,-23,240,143,1435,538,404,2020,The Glatt Pack,NA,,,
Brayden Point,66,28,30,-5,33,22,175,75,27,2021,The Glatt Pack,NA,,,
William Karlsson,63,11,21,4,10,3,124,38,39,2021,The Glatt Pack,NA,,,
Bryan Rust,56,17,28,2,12,17,160,41,23,2021,The Glatt Pack,NA,,,
Alex Pietrangelo,80,13,31,7,42,13,227,66,164,2021,The Glatt Pack,NA,,,
Kris Letang,77,10,57,19,49,22,210,170,121,2021,The Glatt Pack,NA,,,
Alec Martinez,11,0,3,3,4,0,11,9,33,2021,The Glatt Pack,NA,,,
Ryan Nugent-Hopkins,46,6,28,-4,10,17,100,32,27,2021,The Glatt Pack,NA,,,
Mikko Rantanen,75,35,57,35,56,35,253,58,43,2021,The Glatt Pack,NA,,,
Jake Muzzin,39,2,10,-7,12,0,55,79,51,2021,The Glatt Pack,NA,,,
Claude Giroux,68,21,36,-7,24,20,188,62,16,2021,The Glatt Pack,NA,,,
Kevin Fiala,66,25,42,11,48,15,221,44,17,2021,The Glatt Pack,NA,,,
Matt Dumba,39,6,14,10,26,5,81,74,58,2021,The Glatt Pack,NA,,,
Pavel Buchnevich,65,26,37,24,42,17,184,53,11,2021,The Glatt Pack,NA,,,
Joel Farabee,9,2,2,6,0,1,14,14,3,2021,The Glatt Pack,NA,,,
Zach Werenski,53,7,29,-16,16,10,160,24,72,2021,The Glatt Pack,NA,,,
Ivan Provorov,21,3,6,-5,10,3,54,24,48,2021,The Glatt Pack,NA,,,
Total,834,212,431,77,394,200,2217,863,753,2021,The Glatt Pack,NA,,,
Mark Giordano,27,3,8,-2,12,4,42,26,43,2021,The Tkachukle Fuckers,NA,,,
Ryan Strome,53,12,27,7,57,10,121,34,15,2021,The Tkachukle Fuckers,NA,,,
Nils Hoglander,3,0,2,2,0,1,10,0,0,2021,The Tkachukle Fuckers,NA,,,
Quinn Hughes,72,6,54,9,28,30,141,18,54,2021,The Tkachukle Fuckers,NA,,,
Morgan Rielly,81,10,57,16,38,23,219,89,86,2021,The Tkachukle Fuckers,NA,,,
Patric Hornqvist,3,0,0,-1,0,0,5,6,1,2021,The Tkachukle Fuckers,NA,,,
Ryan Pulock,4,0,0,-1,0,0,9,7,13,2021,The Tkachukle Fuckers,NA,,,
Joel Eriksson Ek,2,0,0,0,0,0,5,3,3,2021,The Tkachukle Fuckers,NA,,,
Travis Konecny,18,5,5,1,8,2,55,21,5,2021,The Tkachukle Fuckers,NA,,,
Taylor Hall,12,3,4,-3,8,2,22,14,9,2021,The Tkachukle Fuckers,NA,,,
Sean Monahan,1,0,0,-1,0,0,1,0,0,2021,The Tkachukle Fuckers,NA,,,
Blake Coleman,3,1,0,2,0,0,9,7,2,2021,The Tkachukle Fuckers,NA,,,
Justin Faulk,74,14,30,39,43,6,160,146,100,2021,The Tkachukle Fuckers,NA,,,
Nathan MacKinnon,64,32,54,22,42,26,294,68,39,2021,The Tkachukle Fuckers,NA,,,
Tyler Bertuzzi,5,2,2,2,4,0,14,3,1,2021,The Tkachukle Fuckers,NA,,,
Jordan Kyrou,49,13,28,-2,18,9,115,3,15,2021,The Tkachukle Fuckers,NA,,,
Vincent Trocheck,14,3,7,3,14,3,25,32,8,2021,The Tkachukle Fuckers,NA,,,
Brady Tkachuk,79,30,37,-8,117,18,288,270,25,2021,The Tkachukle Fuckers,NA,,,
Brock Boeser,29,10,7,-3,2,7,87,8,11,2021,The Tkachukle Fuckers,NA,,,
Kevin Shattenkirk,15,1,7,0,4,4,27,12,18,2021,The Tkachukle Fuckers,NA,,,
Pierre-Luc Dubois,64,20,22,-14,82,13,188,90,31,2021,The Tkachukle Fuckers,NA,,,
Milan Lucic,1,0,0,0,0,0,2,0,0,2021,The Tkachukle Fuckers,NA,,,
Patrik Nemeth,1,0,0,1,0,0,0,2,3,2021,The Tkachukle Fuckers,NA,,,
Drake Batherson,37,13,22,1,30,12,82,65,13,2021,The Tkachukle Fuckers,NA,,,
Jesper Bratt,32,11,23,-7,8,10,88,6,10,2021,The Tkachukle Fuckers,NA,,,
Mario Ferraro,26,0,4,3,2,0,20,55,64,2021,The Tkachukle Fuckers,NA,,,
Rickard Rakell,3,1,0,0,0,0,10,4,2,2021,The Tkachukle Fuckers,NA,,,
Robert Thomas,3,0,1,0,2,0,9,0,0,2021,The Tkachukle Fuckers,NA,,,
Adam Boqvist,6,2,1,-1,2,0,8,0,3,2021,The Tkachukle Fuckers,NA,,,
Michael Bunting,28,5,18,9,48,2,59,33,8,2021,The Tkachukle Fuckers,NA,,,
Jonathan Marchessault,52,18,29,6,26,16,178,39,9,2021,The Tkachukle Fuckers,NA,,,
Brayden McNabb,6,0,2,1,2,0,13,14,11,2021,The Tkachukle Fuckers,NA,,,
Erik Karlsson,6,0,4,-5,0,0,16,3,4,2021,The Tkachukle Fuckers,NA,,,
Nino Niederreiter,4,2,0,1,2,1,8,9,1,2021,The Tkachukle Fuckers,NA,,,
Zach Whitecloud,3,0,0,-2,2,0,3,6,6,2021,The Tkachukle Fuckers,NA,,,
Alexander Kerfoot,2,0,1,0,2,0,2,3,1,2021,The Tkachukle Fuckers,NA,,,
Andre Burakovsky,13,1,8,-1,0,0,23,7,7,2021,The Tkachukle Fuckers,NA,,,
Connor Murphy,10,1,1,-3,8,0,21,21,27,2021,The Tkachukle Fuckers,NA,,,
Clayton Keller,26,12,18,10,2,7,60,3,7,2021,The Tkachukle Fuckers,NA,,,
Samuel Girard,6,0,1,5,0,1,5,5,15,2021,The Tkachukle Fuckers,NA,,,
Rasmus Andersson,4,1,2,1,0,0,7,2,5,2021,The Tkachukle Fuckers,NA,,,
Ryan McDonagh,1,0,1,0,0,0,2,0,2,2021,The Tkachukle Fuckers,NA,,,
Calvin de Haan,1,0,0,-1,2,0,1,0,5,2021,The Tkachukle Fuckers,NA,,,
Alex Tuch,6,1,6,-1,2,1,24,3,7,2021,The Tkachukle Fuckers,NA,,,
Jack Eichel,33,14,10,4,8,7,129,39,35,2021,The Tkachukle Fuckers,NA,,,
Josh Morrissey,32,7,10,-1,44,6,81,60,50,2021,The Tkachukle Fuckers,NA,,,
Vladislav Gavrikov,4,0,1,-4,12,0,3,5,9,2021,The Tkachukle Fuckers,NA,,,
Colton Parayko,7,0,2,4,2,0,14,10,13,2021,The Tkachukle Fuckers,NA,,,
Artem Zub,3,0,1,-1,0,0,4,7,2,2021,The Tkachukle Fuckers,NA,,,
Matt Boldy,1,0,0,0,0,0,1,0,0,2021,The Tkachukle Fuckers,NA,,,
Christopher Tanev,3,0,0,-1,2,0,3,2,4,2021,The Tkachukle Fuckers,NA,,,
Lawson Crouse,1,1,1,-1,0,1,2,1,0,2021,The Tkachukle Fuckers,NA,,,
Josh Norris,9,3,6,3,2,4,30,12,4,2021,The Tkachukle Fuckers,NA,,,
Esa Lindell,1,0,0,0,0,0,2,0,4,2021,The Tkachukle Fuckers,NA,,,
Joel Edmundson,2,0,0,-2,0,0,2,6,1,2021,The Tkachukle Fuckers,NA,,,
Jean-Gabriel Pageau,2,0,0,-1,0,0,3,8,3,2021,The Tkachukle Fuckers,NA,,,
Torey Krug,3,0,1,-3,2,1,4,5,7,2021,The Tkachukle Fuckers,NA,,,
Valeri Nichushkin,6,4,2,-2,2,0,26,5,0,2021,The Tkachukle Fuckers,NA,,,
Erik Cernak,5,0,1,0,7,0,3,12,4,2021,The Tkachukle Fuckers,NA,,,
Total,1061,262,528,80,698,227,2785,1309,825,2021,The Tkachukle Fuckers,NA,,,
Ondrej Palat,56,13,18,-1,16,6,103,79,25,2021,Tkachuk'n rites boys,NA,,,
Evgenii Dadonov,11,2,1,2,0,0,24,8,6,2021,Tkachuk'n rites boys,NA,,,
Mikhail Sergachev,71,7,27,8,53,6,141,130,113,2021,Tkachuk'n rites boys,NA,,,
Gabriel Landeskog,50,30,29,28,76,15,148,94,34,2021,Tkachuk'n rites boys,NA,,,
Christian Dvorak,7,1,2,-5,6,1,10,5,7,2021,Tkachuk'n rites boys,NA,,,
Tyler Toffoli,19,3,6,-8,2,2,49,31,5,2021,Tkachuk'n rites boys,NA,,,
Cale Makar,77,28,58,48,26,34,240,95,110,2021,Tkachuk'n rites boys,NA,,,
Tyler Seguin,69,19,21,-14,26,9,183,84,24,2021,Tkachuk'n rites boys,NA,,,
Viktor Arvidsson,42,16,14,2,18,6,158,14,34,2021,Tkachuk'n rites boys,NA,,,
Joe Pavelski,79,26,53,12,12,24,212,100,67,2021,Tkachuk'n rites boys,NA,,,
MacKenzie Weegar,80,8,36,40,81,3,203,179,156,2021,Tkachuk'n rites boys,NA,,,
Ivan Provorov,7,0,1,6,6,0,7,4,22,2021,Tkachuk'n rites boys,NA,,,
Matthew Tkachuk,68,33,52,44,58,25,215,74,15,2021,Tkachuk'n rites boys,NA,,,
Filip Forsberg,52,26,33,7,16,20,169,88,35,2021,Tkachuk'n rites boys,NA,,,
Dominik Kubalik,9,0,3,-4,0,1,21,12,7,2021,Tkachuk'n rites boys,NA,,,
Jeff Petry,16,0,2,-4,4,0,22,31,16,2021,Tkachuk'n rites boys,NA,,,
J.T. Compher,2,1,0,1,0,1,2,0,1,2021,Tkachuk'n rites boys,NA,,,
Reilly Smith,22,4,12,0,2,5,50,16,4,2021,Tkachuk'n rites boys,NA,,,
Dmitry Orlov,23,3,10,7,14,1,37,42,20,2021,Tkachuk'n rites boys,NA,,,
Taylor Hall,29,5,15,-1,12,6,72,17,16,2021,Tkachuk'n rites boys,NA,,,
Nicklas Backstrom,35,6,19,-7,10,11,50,13,13,2021,Tkachuk'n rites boys,NA,,,
Kevin Shattenkirk,9,0,3,-7,4,1,16,2,9,2021,Tkachuk'n rites boys,NA,,,
Evgeni Malkin,35,19,20,-7,20,18,114,19,16,2021,Tkachuk'n rites boys,NA,,,
Mathew Barzal,16,2,10,-8,4,6,28,4,4,2021,Tkachuk'n rites boys,NA,,,
Tomas Hertl,33,7,18,-8,14,8,70,48,32,2021,Tkachuk'n rites boys,NA,,,
Erik Karlsson,11,2,3,-7,0,0,20,2,8,2021,Tkachuk'n rites boys,NA,,,
Mason Marchment,11,3,5,3,16,0,20,23,2,2021,Tkachuk'n rites boys,NA,,,
Damon Severson,14,1,7,7,6,1,17,22,15,2021,Tkachuk'n rites boys,NA,,,
Total,953,265,478,134,502,210,2401,1236,816,2021,Tkachuk'n rites boys,NA,,,
